name,enrollment_no,group
John Doe,20,Group 1
Jane Smith,22,Group 2
Alice Johnson,21,Group 1
Bob Brown,23,Group 2
Charlie Davis,24,Group 1
Emily Clark,25,Group 2
Frank Harris,26,Group 1
Grace Lee,27,Group 2
Henry Walker,28,Group 1
Ivy Young,29,Group 2
Jack King,30,Group 1
Karen Scott,31,Group 2
Leo Turner,32,Group 1
Mia White,33,Group 2
Nathan Green,34,Group 1
Olivia Hall,35,Group 2
Paul Adams,36,Group 1
Quinn Baker,37,Group 2
Rachel Carter,38,Group 1
Sam Evans,39,Group 2
Tina Foster,40,Group 1
Uma Garcia,41,Group 2
Victor Hill,42,Group 1
Wendy Johnson,43,Group 2
Xander Lewis,44,Group 1
Yara Martinez,45,Group 2
Zane Nelson,46,Group 1
